fundamental change & stakeholder consequences;delineates deficiencies & promises a substantial improvement;ideas, plans or other evidence of different manner
revolution;precise;transform
revolutionize;uniquely;reshape
disruptive;optimal;reinvent
revolutionary;more_cost-effective;redefine
convergence;best_possible;reimagine
mobile_computing;costeffective;rethink
cutting-edge;unique;transformation
advent;flexible;remake
radical;cost_effective;digital_transformation
new_era;low_cost;digitize
digital_revolution;cost-effective;reinvention
next_wave;technically;modernize
ai;harsh_environment;evolution
breakthrough;accurate;evolve
proliferation;massive_scale;redesign
converge;more_personalized;supercharge
computing;greater_speed;product_creation
game-changing;personalized_experience;transition
big_data;far_more;rewire
big_datum;unique_advantage;digital-first
pioneering;much_less;transformational
cloud_computing;cost-efficient;virtualize
fundamentally_change;frictionless;simplify_streamline
transformative_change;effi_cient;become_more_agile
game-changing_technology;ever-increasing;simplify
iot;versatile;transform_customer_experience
pervasive;effortless;modernization
entirely_new;real-time_information;consumer-centric
next_generation;economical;accelerate_transformation
democratize;scientifically;dramatically_change
wearable;architectural_approach;harmonize
profound_change;powerful_tool;every_aspect
disrupt;inexpensive;business_transformation
a.i.;human_touch;re-shape
datum_science;better_outcome;retool
social_mobile;storage_infrastructure;improve_efficiency_effectiveness
5g;inefficient;revitalize
adaptive;more_precise;think_act
ray_trace;precision;leaner_more_agile
artificial_intelligence;broadest_range;re-imagine
smart_city;highly_personalized;unleash_power
personalized_medicine;usable;key_enabler
rapid_adoption;shorter;altered
technological_change;highly_flexible;smart_grid
analog_digital;incredible;overhaul
digitization;unattainable;product_development_system
paradigm_shift;richer;every_corner
technological_advancement;proficient;technology_architecture
cognitive;extreme;pivot
transformative;highly_efficient;agile
invent;enjoyable;synchronize
push_boundary;intelligent;harness_power
seismic_shift;expensive;scale_up
era;fluid;cloud-based
next-generation;practical;globalize
signal_processing;seamless_customer_experience;software-defined
life-changing;adaptable;innovate
self-driving_car;accurately;adapt
rapid_change;agnostic;drive_efficiency
internet_thing_iot;quicker;cloud_datum
mobile_broadband;delightful;every_step
internet_thing;faster_more_efficient;incubate
artificial_intelligence_ai;efficient;accelerate_adoption
autonomous_car;40-nm;centralization
virtual_reality;exact;private_cloud
fascinating;application-specific_integrate_circuit;customer_centricity
ubiquitous;massive_amount;simplify_process
intelligent_edge;analyze_datum;re-engineering
renaissance;most_efficient;mutualization
disruptive_technology;powerful_flexible;digitalization
next_frontier;readily;reengineer
profound;vast_amount;project_overdrive
computer_graphic;aff;outdated
signal_processing_technology;ubiquity;become_integral_part
gameplay;always-on;cloud-enabled
proliferate;precisely;redefi
simulate;computing_system;play_integral_part
explosion;glider;continuously_evolve
entertainment_communication;manpower;fundamentally_change_way
gpu-accelerated;cost-effectively;edge-to-cloud
